id,level,state_name,district_name,year,quarter,count,amount
273,state,kerala,,2019,4,12498637,21151326637.805134
274,state,karnataka,,2019,4,237796252,295047143447.23846
275,state,chandigarh,,2019,4,1850915,4152513817.939354
276,state,telangana,,2019,4,163572258,280746765547.7425
277,state,himachal pradesh,,2019,4,3516646,7271163537.248161
278,state,west bengal,,2019,4,96805838,88203610254.64601
279,state,gujarat,,2019,4,42547632,76690662054.91542
280,state,sikkim,,2019,4,767070,1176509601.6562185
281,state,nagaland,,2019,4,317170,834537138.3487777
282,state,mizoram,,2019,4,125239,368689350.6344881
283,state,chhattisgarh,,2019,4,16305758,27143788737.21397
284,state,jammu & kashmir,,2019,4,489928,1929695997.8225975
285,state,goa,,2019,4,1515272,2923460348.4994645
286,state,arunachal pradesh,,2019,4,459475,1190573179.5272837
287,state,delhi,,2019,4,80744997,129024467424.89062
288,state,uttarakhand,,2019,4,7362116,12573706305.150612
289,state,puducherry,,2020,1,1207921,2205277477.079584
290,state,tamil nadu,,2020,1,66953473,116569686179.4346
291,state,uttar pradesh,,2020,1,97239132,172416434960.69037
292,state,madhya pradesh,,2020,1,79366746,126737281436.18526
293,state,andhra pradesh,,2020,1,127677357,252737214289.0485
294,state,tripura,,2020,1,924502,1588778806.3885012
295,state,lakshadweep,,2020,1,5151,13502368.57450421
296,state,manipur,,2020,1,818801,2598590380.8769474
297,state,maharashtra,,2020,1,238944081,319995196718.0683
298,state,dadra & nagar haveli & daman & diu,,2020,1,878579,1342763369.292519
299,state,meghalaya,,2020,1,502283,1120134840.9078057
300,state,andaman & nicobar islands,,2020,1,41298,161476312.2972747
301,state,haryana,,2020,1,44036087,81976214558.24355
302,state,rajasthan,,2020,1,102258812,190308238561.00217
303,state,ladakh,,2020,1,116419,377639677.4457431
304,state,punjab,,2020,1,15217784,31374185265.899654
305,state,assam,,2020,1,8808860,20668428347.72898
306,state,jharkhand,,2020,1,18282713,33611232153.269115
307,state,odisha,,2020,1,53682307,91956798199.33679
308,state,bihar,,2020,1,45081815,109256853527.24524
309,state,kerala,,2020,1,15733522,26451084830.93425
310,state,karnataka,,2020,1,271033890,353402054999.4004
311,state,chandigarh,,2020,1,2262511,5126453070.016205
312,state,telangana,,2020,1,199409525,371343780368.2118
313,state,himachal pradesh,,2020,1,4144480,7419466751.122733
314,state,west bengal,,2020,1,66250381,96653305190.9406
315,state,gujarat,,2020,1,47326417,86995076621.90231
316,state,sikkim,,2020,1,528118,1053476271.9444009
317,state,nagaland,,2020,1,378051,894780028.7343724
318,state,mizoram,,2020,1,153609,392077579.3496374
319,state,chhattisgarh,,2020,1,19523991,32860597671.356686
320,state,jammu & kashmir,,2020,1,921630,2937643176.534005
321,state,goa,,2020,1,1881237,3410371231.9237647
322,state,arunachal pradesh,,2020,1,567175,1381758681.3301477
323,state,delhi,,2020,1,81747604,133616543642.58943
324,state,uttarakhand,,2020,1,9131784,16158080258.987526
325,state,puducherry,,2020,2,1033383,1960030980.4875922
326,state,tamil nadu,,2020,2,51870110,95826508896.84135
327,state,uttar pradesh,,2020,2,100851965,178744016130.31216
328,state,madhya pradesh,,2020,2,76340573,147922015289.08447
329,state,andhra pradesh,,2020,2,144917855,302583689746.5449
330,state,tripura,,2020,2,1052520,1769175883.585958
331,state,lakshadweep,,2020,2,7220,16942922.08594439
332,state,manipur,,2020,2,1083068,3198936212.8055243
333,state,maharashtra,,2020,2,184790761,296359517159.41614
334,state,dadra & nagar haveli & daman & diu,,2020,2,973152,1302376453.8880572
335,state,meghalaya,,2020,2,635395,1153735154.3383913
336,state,andaman & nicobar islands,,2020,2,62962,169645001.41414702
337,state,haryana,,2020,2,41781050,80711264923.94525
338,state,rajasthan,,2020,2,101954656,193763273003.28284
339,state,ladakh,,2020,2,155010,523792998.6520228
340,state,punjab,,2020,2,14081294,30284654252.21334
341,state,assam,,2020,2,10505199,19766300125.91926
342,state,jharkhand,,2020,2,20141511,37486201975.923416
343,state,odisha,,2020,2,50028576,91733036612.10583
344,state,bihar,,2020,2,53386742,128806523628.85287
345,state,kerala,,2020,2,16287967,25894078478.599953
346,state,karnataka,,2020,2,213221712,321104877020.14185
347,state,chandigarh,,2020,2,1528010,3847015729.690074
348,state,telangana,,2020,2,152055143,321531839352.4224
349,state,himachal pradesh,,2020,2,4695730,8036904762.544065
350,state,west bengal,,2020,2,57676797,100099431877.35757
351,state,gujarat,,2020,2,47420185,80387846359.49454
352,state,sikkim,,2020,2,517731,1054618788.2612653
353,state,nagaland,,2020,2,517566,1137674504.3478017
354,state,mizoram,,2020,2,198462,457193433.4423174
355,state,chhattisgarh,,2020,2,18820925,32268382206.900894
356,state,jammu & kashmir,,2020,2,2635006,8265648939.258666
357,state,goa,,2020,2,1482092,2183616430.016773
358,state,arunachal pradesh,,2020,2,808774,1826716832.9849606
359,state,delhi,,2020,2,66042018,107873438203.33162
360,state,uttarakhand,,2020,2,9047770,16094187702.100985
361,state,puducherry,,2020,3,1730902,3598080229.434597
362,state,tamil nadu,,2020,3,70277825,143841415498.65747
363,state,uttar pradesh,,2020,3,127405259,248689955423.05322
364,state,madhya pradesh,,2020,3,108579881,205701679984.53757
365,state,andhra pradesh,,2020,3,204902935,467084130584.93884
366,state,tripura,,2020,3,1317885,2341819516.215885
367,state,lakshadweep,,2020,3,8589,21306833.308656827
368,state,manipur,,2020,3,1420168,4615976120.870485
369,state,maharashtra,,2020,3,268310924,440307079012.4761
370,state,dadra & nagar haveli & daman & diu,,2020,3,1138312,1749789114.9993598
371,state,meghalaya,,2020,3,597579,1237059001.3830369
372,state,andaman & nicobar islands,,2020,3,117483,338019446.3303601
373,state,haryana,,2020,3,57938179,109567950445.72871
374,state,rajasthan,,2020,3,149088676,293678306162.4698
375,state,ladakh,,2020,3,228222,835487500.058193
376,state,punjab,,2020,3,17209573,40123092147.81354
377,state,assam,,2020,3,12397711,29831391259.543846
378,state,jharkhand,,2020,3,27068473,50622615820.01348
379,state,odisha,,2020,3,66033829,122463943804.29193
380,state,bihar,,2020,3,71503748,173328865111.8144
381,state,kerala,,2020,3,21758680,40164150651.95372
382,state,karnataka,,2020,3,300360531,470740515696.6945
383,state,chandigarh,,2020,3,2158086,5089809353.36507
384,state,telangana,,2020,3,236372126,505961144755.88367
385,state,himachal pradesh,,2020,3,5489876,10516054014.086905
386,state,west bengal,,2020,3,79954504,156813355855.1383
387,state,gujarat,,2020,3,59290179,111921752484.70932
388,state,sikkim,,2020,3,596435,1400926728.6603994
389,state,nagaland,,2020,3,736319,2009649143.1547942
390,state,mizoram,,2020,3,254703,707944175.5046022
391,state,chhattisgarh,,2020,3,24148539,41526744807.53401
392,state,jammu & kashmir,,2020,3,3465898,11977229760.872362
393,state,goa,,2020,3,1915531,3368343580.9446573
394,state,arunachal pradesh,,2020,3,962827,2609938565.55822
395,state,delhi,,2020,3,96491861,175163962804.6604
396,state,uttarakhand,,2020,3,11818935,22103510968.006454
397,state,puducherry,,2020,4,2716003,4930526217.671207
398,state,tamil nadu,,2020,4,111179701,206473197500.99268
399,state,uttar pradesh,,2020,4,178167517,357428826778.2578
400,state,madhya pradesh,,2020,4,153652541,284275139772.3589
401,state,andhra pradesh,,2020,4,286118552,654841546033.3186
402,state,tripura,,2020,4,1651890,3182130996.2213116
403,state,lakshadweep,,2020,4,11650,30111317.917080387
404,state,manipur,,2020,4,1627852,5602224558.458768
405,state,maharashtra,,2020,4,407621004,622155530832.2585
406,state,dadra & nagar haveli & daman & diu,,2020,4,1817791,2700511100.828503
407,state,meghalaya,,2020,4,754008,1804242572.1989727
408,state,andaman & nicobar islands,,2020,4,224531,627282656.3148524
409,state,haryana,,2020,4,83171439,159998504366.53964
410,state,rajasthan,,2020,4,190283435,386034779836.48376
411,state,ladakh,,2020,4,332134,1111963470.5079594
412,state,punjab,,2020,4,22997925,53775406479.553894
413,state,assam,,2020,4,15423454,40226611319.263756
414,state,jharkhand,,2020,4,39431633,72805174830.04245
415,state,odisha,,2020,4,92324950,178302663014.6175
416,state,bihar,,2020,4,96591673,238905613136.47186
417,state,kerala,,2020,4,33288187,56755256647.011795
418,state,karnataka,,2020,4,431536984,658036698565.0032
419,state,chandigarh,,2020,4,2912716,6146762901.349345
420,state,telangana,,2020,4,343643787,696350439226.9453
421,state,himachal pradesh,,2020,4,7272328,13989053108.813015
422,state,west bengal,,2020,4,100340645,199165491365.6468
423,state,gujarat,,2020,4,77828547,148393060112.4366
424,state,sikkim,,2020,4,735035,1919275805.122922
425,state,nagaland,,2020,4,847825,2773084870.5627017
426,state,mizoram,,2020,4,322607,986522115.6939572
427,state,chhattisgarh,,2020,4,35529636,62214974283.94806
428,state,jammu & kashmir,,2020,4,5754444,15380905803.378227
429,state,goa,,2020,4,3801381,6899792747.579928
430,state,arunachal pradesh,,2020,4,1209129,3570264021.8456187
431,state,delhi,,2020,4,120540417,216265088224.5436
432,state,uttarakhand,,2020,4,17613271,31792739329.110085
433,state,puducherry,,2021,1,3309432,5899309571.743641
434,state,tamil nadu,,2021,1,136556674,248668143873.65317
435,state,uttar pradesh,,2021,1,204499547,396287587577.5575
436,state,madhya pradesh,,2021,1,201998498,343533954382.3015
437,state,andhra pradesh,,2021,1,289747970,672444670176.5881
438,state,tripura,,2021,1,1511423,3335341569.793424
439,state,lakshadweep,,2021,1,9085,27042782.914081153
440,state,manipur,,2021,1,2303535,7070287514.479244
441,state,maharashtra,,2021,1,517860240,769887352153.2483
442,state,dadra & nagar haveli & daman & diu,,2021,1,1925244,2965632911.1935043
443,state,meghalaya,,2021,1,747646,2055515277.9898345
444,state,andaman & nicobar islands,,2021,1,244752,783706567.3897561
445,state,haryana,,2021,1,90252784,168938301082.4288
446,state,rajasthan,,2021,1,252730919,491492581657.63354
447,state,ladakh,,2021,1,275415,983419813.2468786
448,state,punjab,,2021,1,26770835,58690887091.106735
449,state,assam,,2021,1,19512060,51326464546.12217
450,state,jharkhand,,2021,1,44621663,83749353123.13824
451,state,odisha,,2021,1,111460358,213397736188.33783
452,state,bihar,,2021,1,114932477,280973649701.2259
453,state,kerala,,2021,1,42316342,69260970161.89497
454,state,karnataka,,2021,1,523797492,754995357412.3948
455,state,chandigarh,,2021,1,3970237,7596420859.545994
456,state,telangana,,2021,1,412572110,799359264046.5657
457,state,himachal pradesh,,2021,1,7614029,14120546909.487547
458,state,west bengal,,2021,1,118254052,242937207475.5198
459,state,gujarat,,2021,1,94774565,183700780713.44968
460,state,sikkim,,2021,1,800189,2217667726.8407273
461,state,nagaland,,2021,1,975897,3107450484.613187
462,state,mizoram,,2021,1,329575,1101105586.9459367
463,state,chhattisgarh,,2021,1,39436437,69409843261.55008
464,state,jammu & kashmir,,2021,1,6997570,17138349893.151793
465,state,goa,,2021,1,5331549,9757242879.021431
466,state,arunachal pradesh,,2021,1,1177456,3813779079.0166435
467,state,delhi,,2021,1,157359004,266928345043.49225
468,state,uttarakhand,,2021,1,20608402,36288189399.89833
469,state,puducherry,,2021,2,3751387,6498834696.543897
470,state,tamil nadu,,2021,2,146158442,263487341026.54623
471,state,uttar pradesh,,2021,2,241949131,482172489166.39343
472,state,madhya pradesh,,2021,2,223314680,425500768035.631
473,state,andhra pradesh,,2021,2,352767134,850737499108.2986
474,state,tripura,,2021,2,1744429,3468154361.036266
475,state,lakshadweep,,2021,2,11384,27383463.657951534
476,state,manipur,,2021,2,3086275,7889827962.396657
477,state,maharashtra,,2021,2,573616486,915115055623.7152
478,state,dadra & nagar haveli & daman & diu,,2021,2,2125083,3157668461.418905
479,state,meghalaya,,2021,2,909594,2193617254.8905916
480,state,andaman & nicobar islands,,2021,2,341414,899147016.1122956
